The intermediate results:
Round 1: 64445,0,0,17
Round 2: 128886,0,0,38
Round 3: 193323,0,0,63
Round 4: 257765,0,0,83
Round 5: 322208,4,8,96

The clustering results:
0,5
1,8
2,1
3,-1
4,3
5,3
6,2
7,7
8,3
9,3
10,5
11,3
12,5
13,7
14,-1
15,1
16,5
17,3
18,6
19,-1
20,9
21,9
22,-1
23,3
24,5
25,2
26,9
27,7
28,8
29,6
30,1
31,6
32,7
33,7
34,8
35,-1
36,6
37,8
38,3
39,1
40,1
41,1
42,2
43,9
44,1
45,3
46,-1
47,3
48,2
49,2
50,7
51,6
52,-1
53,5
54,7
55,4
56,6
57,3
58,7
59,3
60,7
61,-1
62,6
63,-1
64,1
65,4
66,-1
67,8
68,8
69,3
70,9
71,4
72,8
73,7
74,4
75,3
76,3
77,3
78,7
79,7
80,9
81,7
82,8
83,1
84,-1
85,7
86,6
87,-1
88,9
89,4
90,3
91,5
92,9
93,2
94,9
95,9
96,6
97,9
98,1
99,1
100,3
101,6
102,-1
103,7
104,7
105,-1
106,-1
107,3
108,8
109,7
110,8
111,1
112,8
113,2
114,7
115,7
116,6
117,8
118,-1
119,5
120,4
121,3
122,8
123,6
124,2
125,8
126,6
127,8
128,3
129,-1
130,1
131,7
132,3
133,-1
134,3
135,2
136,7
137,7
138,7
139,2
140,1
141,-1
142,1
143,2
144,8
145,6
146,8
147,5
148,7
149,-1
150,9
151,3
152,7
153,7
154,7
155,7
156,1
157,8
158,1
159,7
160,9
161,4
162,4
163,4
164,7
165,8
166,6
167,9
168,3
169,3
170,6
171,2
172,1
173,3
174,6
175,2
176,8
177,6
178,5
179,9
180,5
181,2
182,9
183,2
184,1
185,4
186,7
187,8
188,2
189,-1
190,1
191,5
192,7
193,8
194,1
195,1
196,9
197,2
198,3
199,5
200,6
201,6
202,6
203,6
204,4
205,3
206,5
207,2
208,3
209,-1
210,4
211,2
212,9
213,5
214,5
215,8
216,5
217,3
218,7
219,1
220,6
221,6
222,5
223,5
224,6
225,6
226,8
227,9
228,2
229,6
230,5
231,8
232,5
233,7
234,3
235,3
236,7
237,-1
238,-1
239,8
240,7
241,9
242,5
243,-1
244,3
245,8
246,-1
247,-1
248,3
249,3
250,9
251,3
252,8
253,7
254,1
255,8
256,6
257,3
258,8
259,1
260,7
261,4
262,-1
263,7
264,2
265,4
266,6
267,-1
268,3
269,3
270,2
271,3
272,9
273,4
274,2
275,9
276,3
277,7
278,1
279,8
280,1
281,1
282,2
